bm,malloc,perf-task-clock,perf-context-switches,perf-cpu-migrations,perf-page-faults,perf-time,perf-user,perf-sys,time,rss,user,sys,page-faults,allocs,frees,bytes allocated,massif-mem_heap_B,massif-mem_heap_extra_B
cfrac,hd,6044.31,340,9,3753,6.042978849,6.036231000,0.008711000,06.01,4768,6.01,0,546,91530285,91530284,1831917180,732296,393232
cfrac,je,5844.50,70,9,3407,5.841751067,5.837607000,0.007644000,05.81,9924,5.81,0,243,91530285,91530284,1831917180,732296,393232
cfrac,sm,9545.63,114,7,3506,9.544832615,9.515157000,0.031106000,09.51,42596,9.50,0,292,91530285,91530284,1831917180,732296,393232
cfrac,sys,6248.37,71,12,3612,6.245534608,6.241220000,0.007915000,06.22,3204,6.22,0,424,91530284,91530283,1831844476,659629,393259
cfrac,tcg,6365.49,68,13,3641,6.365860954,6.353515000,0.012619000,06.34,14268,6.33,0,487,91530287,91530286,1831917182,732296,393232
espresso,hd,6469.55,60,11,3892,6.466709126,6.441059000,0.029224000,06.44,5412,6.42,0,691,33510241,33510221,3726668584,283682,1598
espresso,je,6451.40,61,12,3460,6.448831479,6.418791000,0.033330000,06.42,9860,6.39,0,265,33510241,33510221,3726668584,274034,1454
espresso,sm,7737.45,73,7,3503,7.734605514,7.709718000,0.028485000,07.70,71064,7.68,0,291,33510241,33510221,3726668584,286514,1854
espresso,sys,7065.09,70,9,3657,7.062332973,7.018281000,0.047544000,07.03,2400,6.99,0,460,33510240,33510220,3726595880,213546,1590
espresso,tcg,6621.95,67,10,3855,6.622866494,6.588857000,0.033833000,06.59,16980,6.56,0,644,33510243,33510223,3726668586,237570,1406
gs,hd,1338.82,45,8,10897,1.335853534,1.300366000,0.039211000,01.31,42844,1.27,0,7683,125100,125100,4149824291,12132157,26107
gs,je,1328.11,44,8,6808,1.325085688,1.280658000,0.048251000,01.29,49156,1.25,0,3640,125100,125100,4149824291,11867109,28059
gs,sm,1324.70,44,10,4807,1.321763426,1.274717000,0.050755000,01.29,118024,1.25,0,1666,125100,125100,4149824291,11590352,26088
gs,sys,1321.28,42,10,10319,1.318564866,1.283394000,0.038668000,01.29,37300,1.26,0,7145,124711,124711,4149556363,11548661,32483
gs,tcg,1300.05,45,8,5056,1.300262873,1.260577000,0.040096000,01.27,51516,1.23,0,1868,125152,125152,4149519893,11704781,32763
larson,hd,10089.01,4106,26,23325,7.091348482,10.029451000,0.061139000,32.308,82508,10.00,0,19436,73125313,73045006,36810491086,40428109,1384675
larson,je,10042.08,3417,57,16828,7.060680183,9.929076000,0.114944000,26.146,124260,9.90,0,13021,75887665,75807500,38201791724,40278801,1390495
larson,sm,10084.89,2633,23,4819,7.094833296,10.041152000,0.044816000,72.597,110556,10.01,0,940,82200177,82119999,41378361911,40375993,1393207
larson,sys,10075.30,5783,322,36472,7.101665842,9.940017000,0.136579000,44.341,130692,9.90,0,32579,121162758,121082501,60990019712,40465137,1391711
larson,tcg,10058.32,3681,188,5167,7.071671584,10.020424000,0.039533000,32.962,66524,9.99,0,1285,97300210,97220002,48977905881,40360181,1394059
lua,hd,6233.86,328,65,190494,6.234314390,5.728956000,0.509202000,06.20,79080,5.69,0,187509,12302,8033,759628,446776,60616
lua,je,6330.17,325,77,166733,6.330744765,5.762289000,0.572311000,06.30,76168,5.73,0,163743,12302,8033,759637,446787,60629
lua,sm,7799.76,345,57,112370,7.801521737,6.032531000,1.771060000,07.77,164336,6.00,0,109384,12302,8033,759670,523732,61444
lua,sys,6223.15,318,58,174943,6.223479550,5.799696000,0.427793000,06.19,66432,5.77,0,171977,12306,8034,686853,464087,61665
lua,tcg,6352.27,536,32,148464,6.694775841,5.732274000,0.626211000,06.66,89008,5.70,0,145455,12304,8035,759687,536863,61617
redis,hd,177.13,318,18,6243,5.406486548,0.098282000,0.080556000,6.920,7488,0.00,0,498,113868,113860,25745084,1084161,11815
redis,je,179.80,369,20,6011,5.414008218,0.117897000,0.063554000,6.900,11480,0.00,0,309,113868,113860,25745084,1084161,11847
redis,sm,189.51,323,17,6043,5.404459886,0.085697000,0.105710000,6.920,64504,0.00,0,367,113868,113860,25745084,1084161,11815
redis,sys,177.31,320,20,6091,5.416291347,0.100441000,0.078672000,7.000,4620,0.00,0,418,113868,113860,25745084,1011457,11823
redis,tcg,180.17,325,17,6342,5.410469073,0.095581000,0.086387000,7.059,15928,0.00,0,598,113868,113860,25745084,1084161,11815
